0,大瓜头和白小雪的100分！,100 points for Daguatou and Bai Xiaoxue!
1,盘点12生肖对应的奥特曼，我对应的是捷德，你们对应的是谁？,"Inventory of the Ultraman corresponding to the 12 zodiac signs, I correspond to Ged, who do you correspond to?"
2,假如让你选奥特曼当你同桌，赛罗VS格丽乔，你会选择谁？,"If you were to choose Ultraman as your tablemate, Ciro VS Gregory, who would you choose?"
3,假如这四位奥特曼当你的老师，你们会喜欢吗？,"If these four Ultraman were your teachers, would you like it?"
4,白小雪会给黑暗魔王小红心吗？,Will Bai Xiaoxue give the Dark Demon King a little red heart?
5,小雪的七彩魔法太阳！,Koyuki's colorful magic sun!
6,白小雪和白小贝选盲盒！,Bai Xiaoxue and Bai Xiaobei choose a blind box!
7,白小雪和白小贝坐小火车！,Bai Xiaoxue and Bai Xiaobei take the little train!
8,小雪怎么收集了这么多黑心？,How did Xiaoxue collect so many black hearts?
9,白小雪的妈妈变成了宝宝！,Bai Xiaoxue's mother has become a baby!
10,小雪是最厉害的食物宝宝吗？,Is Xiaoxue the most powerful food baby?
11,白小雪抠糖饼大挑战！,Bai Xiaoxue's Sugar Cake Challenge!
12,小雪的宠物盲居然开出了凤凰！,Xiaoxue's pet blind actually opened a phoenix!
13,小雪怎么一直在吃汉堡？,Why does Xiaoxue keep eating hamburgers?
14,小雪和小贝玩植物大战僵尸！,Xiaoxue and Xiaobei play Plants vs. Zombies!
15,小雪的彩虹娃娃被抢走了！,Koyuki's rainbow doll has been stolen!
16,小雪考了100分为什么没人喜欢？,"Xiaoxue scored 100 points in the test, why no one likes it?"
17,小雪和小贝的父母为什么要分开？,Why did Xiaoxue and Xiaobei's parents separate?
18,白小雪的红心卡片不见了！,Bai Xiaoxue's red heart card is gone!
19,小雪怎么给爸爸打0分？,How does Xiaoxue give Dad 0 points?
20,白雪公主帮助彩虹恢复颜色,Snow White helps the rainbow restore color
21,白雪公主贝儿公主大头儿子的彩虹牙齿,Rainbow Teeth of Snow White Belle's Big-Headed Son
22,大瓜头的蜡笔会回来吗？,Will Daguatou's crayons come back?
