2021,原创舞蹈《寻茶》完整版来啦！,"The full version of the original dance ""Looking for Tea"" is here!"
1527,赵露思VLOG舞蹈翻跳 BLACKPINK《As if it's your last》,"Zhao Lusi VLOG Dance Cover BLACKPINK ""As if it's your last"""
1445,玟星最新Solo曲LUNATIC舞蹈接力版,Moonstar's latest solo song LUNATIC dance relay version
646,' 好好睡吧 我亲爱的宝贝 '  Good night Kiss 翻跳 全孝盛 晚安吻【定机位竖屏】,"'Sleep well, my dear baby' Good night Kiss"
770,【假面舞团Jabbawockeez】夜店嗨到爆炸舞蹈BOOM,[Masquerade Jabbawockeez]Boom dance in nightclub
781,看完这段表演你就会知道什么是神一般的存在！,"After watching this performance, you will know what a god-like existence is!"
903,{芒种}一想到你我就~{旗袍很漂亮 人也不错},"{Mangs}When I think of you, I will~{The cheongsam is very beautiful and the people are not bad}"
1277,热 辣 甜 心 一键换装 Wa Da Da Kep1er出道曲翻跳,Hot and spicy sweetheart one-click dress up Wa Da Da Kep1er's debut song flip
1596,国风舞千年！河南大学的《霓裳迴旋》把仙女演活了！,"National style dance for thousands of years! Henan University's ""Neon Clothes"" brought the fairy to life!"
2118,中央民族大学范馨爻朝鲜族舞蹈《阿里郎》,"Fan Xinyao of Minzu University of China, Korean dance ""Arirang"""
1733,201219防弹少年团Dynamite（2020MMA Dance Break）练习室版,201219 BTS Dynamite (2020MMA Dance Break) Practice Room Version
1314,孟庆旸：这一年把自己全部给了这支舞【只此青绿】,Meng Qingyang: I gave all of myself to this dance this year [only this blue and green]
1688,【SUNMI_宣美】又跳了《nobody》《24小时都不够》，你们喜欢吗,"[SUNMI_Sunmi]Dance ""Nobody"" and ""24 Hours Are Not Enough"" again, do you like it?"
2302,【目黑莲/踩点】有人懂吗。。。他真的好会扭。。。,[Meguro Lotus / Stepping Point] Does anyone understand? . . He is really good at twisting. . .
917,保姆级教学！包教包会！26个POPPIN元素合集你值得拥有！,Nanny-level teaching! Package teaching package meeting! A collection of 26 POPPIN elements that you deserve!
1631,【Just Dance舞力全开】Chantaje 拉丁风舞蹈,[Just Dance]Chantaje Latin Dance
1560,【丝滑得过分】李子璇-why oh why,[Excessive Silky]Li Zixuan-why oh why
549,GOT the beat出道曲Step Back练习室公开,GOT the beat debut song Step Back practice room revealed
1144,【广东财经大学FORMAT】超感人街舞《金陵十三钗》RealLife高校齐舞比赛<季军>,"[FORMAT of Guangdong University of Finance and Economics] Super touching street dance ""Thirteen Hairpins of Jinling"" RealLife College Dance Competition <Third Runner Up>"
928,【刘隽编舞】基础 Bad Guy,[Liu Jun Choreography]Basic Bad Guy
62,【周末】冷艳媚感 裸足翻跳｜满月 宣美【星辰】,[Weekend]Leng Yanmei Feeling Barefoot Jumping｜Full Moon Xuanmei[Stars]
2180,俄产机器人初尝咖啡,Russian robot tastes coffee for the first time
1410,【小春冉】琴弦上,[Xiao Chunran]On the strings
729,【机械舞美女】Dytto小丑女装扮编舞自杀小队插曲Heathens,[Mechanical dance beauty] Dytto clown girl dress up choreography Suicide Squad episode Heathens
2023,苏芮琪 cover ITZY《Not Shy》,"Su Ruiqi cover ITZY ""Not Shy"""
84,你看你看！下雪了耶！//《好き！雪！本気マジック》宅舞翻跳,"look you look! It's snowing! //""Good き! Snow! The house dance flip"
1289,美国达人秀：最强机械舞，大叔头身分离吓坏评委，全场为他而沸腾,America's Got Talent: The strongest mechanical dance
141,【不齐舞团】舞蹈混搭！老年disco 碰撞街舞火花四溅,[Buqi Dance Troupe]Dance Mix and Match! Old disco collides with hip-hop sparks
1465,【舞蹈风暴-合作赛】郝若琦&王雪柔变身“郝木兰”与“王雪刚”的《惑·心》“画皮”般的东方魅影撩人心弦。,[Dancing Storm - Cooperation Competition]Hao Ruoqi
1561,九儿我送你去远方，《九儿》翻跳,"Jiu'er, I will send you to a distant place, ""Ji'er"" flips"
1118,《时光代理人ed》关于在元旦晚会cos陆光和程小时跳Overthink这件事,"""Time Agent ed"" about dancing Overthink at the New Year's Day party with cos Lu Guang and Cheng Xiao"
1067,  回忆杀 BEAST-「Fiction」经典翻跳,"  Memories Kill BEAST - ""Fiction"" classic flip"
745,我 腿 黑 了,my legs are black
1790,Apink最新回归曲Dumhdurum练习室公开,Apink's latest comeback song Dumhdurum practice room released
1125,【经典返场】MissA四连跳 谁的二代团DNA不动我们真的会伤心,"[Classic Encore] MissA's quadruple jump, whose second-generation group DNA doesn't move, we will really be sad"
1965,T-ARA - Roly Poly现场,T-ARA - Roly Poly Live
1146,【内娱唱跳之光】安崎自编舞《YEA》练习室，她好牛！,"[The Light of Singing and Dancing in Internal Entertainment] Yasaki's own choreography ""YEA"" practice room, she is so good!"
764,"美艳法国小哥哥跳女团舞DUN DUN [RISIN 成员Baptiste,Brian,Jojo,Jezo,Ralph和Hive的Momo]","Gorgeous French boy dancing DUN DUN [RISIN members Baptiste, Brian, Jojo, Jezo, Ralph and Hive's Momo]"
754,红毛从出道至今bridge 姐妹们耳朵怀孕了,"Red Hair has been pregnant since her debut, the bridge sisters have ears"
2284,采薇,Cai Wei
703,【1M】May J Lee编舞Touch,[1M]May J Lee Choreography Touch
1310,【刘耀文】校长都惊呆了！初一学弟现身巴蜀毕业晚会跳舞台风燃炸 尖叫声带动学生震撼家长 现场超嗨,[Liu Yaowen] The principal was stunned! The first-year junior student appeared at the Bashu graduation party and danced in the typhoon. The screams drove the students to shock the parents. The scene was super hi
505,【型男兔】消灭不开心Ծ‸Ծ！今天也是充满元气的单马尾！☀一笑悬命☀,[Bunny Rabbit]Destroy the unhappy Ծ‸Ծ! Today is also a single ponytail full of vitality! ☀ Laughing and dying☀
317,超炫小蛮腰女警蹦迪，thumbs up竖屏~【沐年】,"Stunning little waist policewoman dancing disco, thumbs up vertical screen~[Mu Nian]"
68,8个jk女友，你要带哪一个走？,"8 jk girlfriends, which one do you want to take with you?"
