0,《四海》大烂片？我从来没见过这么好看的春节档电影！,"""The Four Seas"" is a bad movie? I have never seen such a good-looking Chinese New Year movie!"
1,【low君】《镜·双城》：难看，难以看下去的那个难看！,"[Jun Low] ""Mirror Two Cities"": It's ugly, the ugly one that's hard to watch!"
2,当年的白落衡，真的灵到爆炸！！可惜……,"Back then, Bai Luoheng was really smart enough to explode! ! pity……"
3,卧槽 !  “追 着 亲 ” ，不懂就问，这就是“真情侣”的吻戏花絮吗？磕疯了!!!,"What the fuck! ""Chasing for a kiss"", if you don't understand, ask, is this the tidbit of the kiss scene of a ""true couple""? Go crazy!!!"
4,不是谁都可以配得上 美 人二字！！！这 TM才是美人,Not everyone can be worthy of the word beauty! ! ! This TM is the beauty
5,卧槽！这才是刘昊然该看的踩点！,What the hell! This is what Liu Haoran should watch!
6,我好像又看见当初那个很有灵气的她了！她穿传统服饰也太有山水的儿女的感觉了吧！【吴倩】,I seem to have seen the very aura of her back then! She also looks like a child of mountains and rivers wearing traditional clothes! [Wu Qian]
7,“她是舞台上最明艳热烈的那朵红玫瑰” 【金晨】,"""She is the brightest red rose on the stage"" [Jin Chen]"
8,卧槽！开端的张警官年轻时居然又奶又甜！,What the hell! The beginning of the police officer Zhang was so milky and sweet when he was young!
9,【刘昊然X谭松韵】-不枉我 耿耿于怀那么多年 | 赠 海雪樱,"[Liu Haoran x Tan Songyun]-It's not worth it, I've been brooding for so many years | As a gift to Hai Xueying"
10,衣服越粉，打人越狠丨解雨臣 · 打戏燃向,"The more pink the clothes, the harder the beatings|Xie Yuchen · Fighting scene"
11,古装喜服，有些人穿大概会被连夜退婚,"Ancient costumes and wedding dresses, some people may be divorced overnight if they wear them"
12,卧槽！！谁敢信！！！虽然剧情稀碎，但是他演出了原著沈巍的样子！！！,"What the hell! ! Who dares to believe it! ! ! Although the plot is sparse, he performed the original Shen Wei look! ! !"
13,别尬黑了！肖战割割站军姿很辛苦的！都累晕了！吐槽【王牌部队】 已打码 放心观看,"Don't be embarrassed! Xiao Zhan's military posture is very hard! Are all tired and dizzy! Tucao [Ace Troop] has been coded, watch it with confidence"
14,【此片有毒】2021年度国产剧奇葩大奖！！！,[This film is poisonous] The 2021 Chinese Drama Awards! ! !
15,晋江种田文在逃男主 | 别人都在忙着内卷霸总的时候，他直接去开辟新领域了,"Jinjiang Tiantian Wen is a fugitive male protagonist | When everyone else is busy with invoking the boss, he goes directly to open up a new field"
16,难怪说他做男配的那些年，是男主过的最艰难的日子！！,It's no wonder that the years he spent as a male supporting role were the hardest days for the male lead! !
17,这TM才是一见杨过误终身的真正原因,This TM is the real reason that Yang Guo was mistaken for life at first sight
18,王一博新歌《熹微》完整版 含全歌词mv+无损高音质 -电视剧《有翡》插曲,"Wang Yibo's new song ""Xiwei"" full version with full lyrics mv lossless high sound quality - episode of the TV series ""You Fei"""
